City,AQI,PM2.5,PM10,NO2,CO,SO2,O3,Temperature (°C),Humidity (%),Wind Speed (km/h),Rainfall (mm),Pressure (hPa),Vehicle Count,Industrial Activity Index,Health Impact Score
Bangalore,178,83.4771,117.4955,52.819,3.6984,13.5043,91.4654,36.9094,35.5522,10.3253,0.0,1007.8582,382863,3.3541,82
Kolkata,174,82.3324,126.5703,45.2269,3.636,15.4692,60.787,17.7908,51.7858,13.079,0.0,1008.3838,394109,4.3961,82
Nagpur,82,42.697,83.1457,23.3472,1.3437,13.3768,75.7704,43.6825,31.0303,8.3951,0.0,1008.4361,97027,2.7556,26
Varanasi,78,43.185,69.7662,24.9817,1.5865,10.6869,38.4403,6.2708,62.7844,8.2191,0.0,1011.7811,98037,2.4545,28
Nagpur,83,51.6565,84.9823,18.692,1.3919,12.9629,36.8005,22.8519,36.9649,13.9902,0.0,1007.8925,111256,4.1668,31
Varanasi,85,41.9722,81.6899,22.2189,0.9966,17.1322,52.4864,31.3586,43.196,9.526,3.8298,1009.0745,34440,4.457,27
Varanasi,83,38.8419,84.1593,21.0419,1.2826,15.1567,43.4365,20.0364,52.6239,8.2629,0.0,1007.2359,70827,3.1319,27
Jaipur,66,28.7955,66.9004,18.1013,0.8942,10.556,29.3741,22.3329,57.9188,16.4214,0.0,1009.4049,85218,3.414,19
Delhi,179,83.3663,132.0987,47.0025,3.5605,17.0801,81.8813,30.3924,49.3868,9.7048,0.0,1009.8304,307334,4.4809,83
Rajkot,60,36.2674,61.2457,13.6756,1.062,6.5219,40.0599,22.3273,50.7008,10.7669,0.0,1005.918,110216,1.2669,19
Jaipur,68,37.8723,66.2515,24.5477,1.1319,12.9777,54.7505,29.0465,40.4864,11.714,0.0,1014.3058,70252,3.9846,20
Chennai,175,83.3042,143.8208,45.4876,2.9997,19.922,58.9576,27.6661,66.2025,14.5298,0.0,1009.9846,338178,7.0474,84
Patna,77,44.0527,78.027,23.5715,1.289,13.4127,51.1757,32.8573,40.5775,12.423,0.0,1007.4341,104099,4.3069,25
Indore,66,26.1059,63.5404,17.5236,0.8751,7.2646,48.0463,34.5669,50.8399,11.3995,0.0,1008.786,71462,2.2855,17
Nashik,98,59.3145,98.2988,32.6246,1.039,21.6618,61.8837,30.2452,33.955,12.9655,0.0,1008.2241,66550,7.2139,39
Varanasi,70,40.5089,64.0688,20.3316,1.0472,8.3803,60.4174,17.805,44.7425,6.2014,0.0,1010.2173,37518,1.7795,21
Nagpur,89,53.6292,75.8491,24.9904,1.3158,16.0724,67.7364,37.2148,25.6612,9.179,0.0,1008.0413,77002,4.1333,32
Lucknow,109,59.8497,114.6976,31.3921,1.7576,18.454,66.614,26.2699,40.9315,8.5555,0.0,1006.6806,100206,4.6553,46
Lucknow,103,47.5143,105.189,22.0285,1.369,18.0621,40.5992,10.972,65.8458,7.3317,0.0,1010.3008,48867,4.2272,41
Jaipur,90,54.2056,86.2519,29.6795,1.2134,18.528,59.315,29.5922,43.5486,10.0968,0.0,1009.5703,53145,5.5417,34
Varanasi,70,41.3053,51.3257,20.1659,1.1239,12.3447,55.1432,35.9272,42.8153,10.3062,0.0,1011.5629,64807,3.496,22
Mumbai,83,8.9558,11.5285,23.2173,1.7141,9.125,27.4653,26.2504,88.5271,20.6183,36.8731,1006.4182,238037,4.2502,23
Bhopal,67,40.0129,60.1547,21.704,1.0186,11.4162,51.4535,33.4197,38.4411,12.0564,0.0,1012.2416,90397,3.358,20
Mumbai,86,51.0983,72.3898,29.2103,1.7246,11.824,25.6299,25.8535,80.3422,24.9105,0.0,1007.0317,314966,5.5997,36
Meerut,77,38.3275,76.0004,24.1886,1.1407,14.5863,51.4728,29.4218,45.3155,11.5021,0.0,1011.8809,70925,4.2595,24
Rajkot,125,67.3952,97.5018,32.7382,1.7277,12.0274,87.4939,25.2763,52.3622,5.0757,0.0,1007.6687,108280,2.4731,57
Bangalore,186,85.1684,155.2935,53.4049,3.3775,19.078,73.9307,20.1447,54.9019,12.4227,0.0,1011.3987,357199,6.2786,85
Nagpur,94,47.582,93.1396,21.8993,1.3272,14.0116,51.4941,21.2943,47.2628,8.1775,0.0,1008.6864,64644,3.4584,33
Varanasi,88,47.2109,87.566,23.5139,1.0878,13.8211,62.6022,24.6573,42.7771,8.8772,0.0,1011.4857,71682,3.3751,31
Thane,179,83.317,128.395,38.3951,1.4555,32.4657,52.4946,10.6211,53.1413,11.2508,0.0,1010.565,65927,10.0,83
Chennai,185,85.8479,135.1674,47.5848,3.4619,14.1852,62.6442,26.2819,85.0487,15.0854,0.0,1010.3004,429405,5.0431,87
Meerut,71,42.1568,65.983,20.1154,1.2855,10.044,50.8651,30.921,45.1656,11.3521,0.0,1011.5565,110633,2.721,23
Vadodara,218,95.2026,156.1007,47.8585,2.2005,34.7539,91.7023,27.7199,43.8563,7.118,0.0,1011.4161,109902,8.2564,92
Thane,177,82.8577,123.2264,37.2518,1.6935,28.6806,59.7994,29.6766,45.8182,12.7663,0.0,1008.5157,118216,9.3244,82
Lucknow,96,56.1174,90.6283,25.1059,1.4047,18.8589,45.9805,10.6911,55.2147,7.3531,0.0,1011.6116,59575,4.35,38
Hyderabad,104,60.3354,99.2971,34.0414,2.2138,13.7792,40.0052,16.3692,50.9862,14.73,0.0,1013.6127,268683,4.0636,44
Nagpur,61,25.3092,58.8834,13.7904,1.0536,7.4657,51.3347,40.6387,20.8826,11.3707,0.0,1007.8597,76767,1.8905,14
Bhopal,60,34.2312,61.1826,17.4895,0.762,8.379,39.2106,10.5399,55.1372,6.2351,1.1281,1011.0806,31522,1.5993,19
Indore,63,35.3711,60.0947,16.7594,0.8701,8.6559,43.0396,20.5145,43.6559,10.1575,0.0,1009.2273,52292,2.1712,18
Srinagar,110,62.7006,99.2262,33.6313,1.8102,18.1242,73.9026,26.1895,63.7395,6.6202,0.0,858.9483,101780,3.6374,49
Indore,62,31.9249,64.1695,18.4952,0.8537,7.7297,42.9047,41.5899,37.9035,18.0785,0.0,1007.4111,113430,3.2552,18
Indore,79,33.5128,69.4581,23.8685,1.6011,7.8505,52.0413,21.7324,53.8693,9.727,0.0,1009.6757,111479,2.0291,24
Mumbai,164,79.6009,146.1862,48.6431,3.2409,18.7965,65.4904,30.7994,82.2283,11.6265,0.0,1006.4565,307165,5.7471,81
Srinagar,84,48.869,85.5081,25.5394,1.6532,10.1222,55.5075,12.8637,73.627,5.4691,0.0,857.2375,84703,2.1133,34
Surat,69,36.2981,71.6565,24.1581,0.7831,12.9561,28.7161,24.7811,78.6119,17.8299,0.0,1009.6772,68173,5.6574,25
Vadodara,141,72.4344,123.8928,35.9456,1.6822,26.9859,79.2455,36.8512,42.3916,9.7787,0.0,1010.8884,84775,7.6891,65
Chennai,108,57.0853,112.0725,33.2644,2.2379,17.1938,54.3816,29.5728,73.0689,12.8367,0.0,1012.9332,214859,5.6041,48
Lucknow,66,39.2162,61.7605,16.5534,0.7649,9.6348,31.8821,22.1544,44.9576,16.1366,0.0,1011.6859,61656,3.4629,20
Delhi,117,63.0896,123.1728,38.2793,2.7356,14.5044,68.1486,31.5623,41.2554,11.3483,0.0,1011.4432,263372,4.472,49
Bangalore,221,96.5162,155.6803,56.2277,4.271,14.7486,91.3638,32.2481,45.2361,11.5314,0.0,1008.7851,470374,4.8199,93
Delhi,89,45.917,86.2457,23.6438,1.5111,10.9286,33.0895,20.2493,42.9851,15.0758,0.0,1012.8397,153204,4.1804,30
Vadodara,209,93.3448,164.6763,45.1619,1.8739,36.4366,66.0676,9.5834,46.051,8.7522,0.0,1013.8098,99588,9.5825,91
Pune,121,66.02,94.0567,29.5383,1.6574,19.7844,66.1215,25.6968,40.4908,8.0441,0.0,1008.1978,83597,5.1704,53
Jaipur,76,44.6321,75.0525,17.2209,1.256,13.2863,38.9745,17.2849,49.2705,11.3699,0.0,1010.0422,90566,3.3274,26
Agra,94,56.4353,77.9241,26.733,1.4845,14.3136,45.9922,13.3766,63.8466,7.3274,0.0,1010.259,96058,2.8275,39
Mumbai,118,64.7223,87.9034,41.7643,3.064,12.0772,71.5853,26.7953,92.104,9.9696,5.6154,1008.6339,293737,3.4083,57
Jaipur,59,30.7187,56.106,15.6295,0.9166,8.8397,56.9715,41.0993,30.1526,11.5286,0.0,1011.5749,57984,2.6464,15
Thane,111,63.6852,114.9104,26.7848,1.3366,25.4165,51.3195,26.9769,38.7421,12.0111,0.0,1007.0136,53407,7.9853,48
Lucknow,54,27.4806,53.7991,14.7842,1.0002,5.7049,31.1913,19.3802,56.4763,13.1367,0.0,1012.1426,69321,1.8114,15
Meerut,47,22.9229,47.8535,12.2937,0.8464,7.5023,45.7819,29.2551,36.2051,10.0623,1.8775,1008.3753,56510,1.6563,12
Agra,74,42.225,73.8874,20.4721,1.1876,12.5496,47.9292,26.7365,43.9164,12.5831,0.0,1009.4611,91368,4.2195,24
Mumbai,107,49.8765,78.3318,28.2643,2.6033,5.222,31.4595,29.5115,77.4657,19.6294,0.0,1008.4078,396348,1.9691,45
Patna,61,28.9937,49.3864,21.1013,1.249,3.7632,48.6232,22.6356,50.8547,10.1234,0.0,1010.0723,102879,1.0813,17
Ahmedabad,73,40.2552,36.8942,36.8752,1.3323,23.5377,71.1672,23.6569,45.0383,8.3804,17.6727,1010.4425,65425,6.1588,23
Kolkata,164,79.7475,134.0886,48.1295,3.3224,15.9652,61.9356,15.469,44.4149,11.4496,0.0,1012.912,347384,4.7908,78
Nashik,103,60.4507,62.049,31.432,1.5788,27.3734,59.4947,25.7215,51.2056,9.6114,10.0485,1009.2768,62303,7.7925,43
Delhi,91,48.1711,89.6039,28.2664,1.7404,15.5125,55.0493,28.9266,41.8251,12.2413,0.0,1008.3579,137225,4.8832,32
Pune,89,47.8683,87.3685,25.1342,1.5156,13.3245,77.0535,37.0498,29.4246,7.8435,0.0,1010.1646,103156,2.9583,29
Mumbai,103,51.1351,76.4784,29.8825,2.3584,7.8511,36.6009,26.4158,75.665,20.3512,0.0,1009.9744,343606,3.7196,44
Bhopal,108,61.487,107.1569,28.6821,1.5309,18.1012,77.0074,27.8153,34.8591,6.1448,0.0,1009.4697,74463,3.8689,43
Bhopal,76,44.7672,68.6765,20.5869,1.3313,11.1892,38.574,29.3525,50.3136,13.2472,0.0,1008.1289,114597,3.8602,25
Kolkata,298,119.6601,191.0155,68.9765,5.4717,18.3384,139.7291,33.6695,41.6919,6.4391,0.0,1009.867,428770,4.2531,99
Nashik,99,59.5318,94.0446,28.4351,1.4416,18.4512,67.835,35.8991,32.7902,11.1436,0.0,1011.3162,93731,5.3441,39
Hyderabad,258,107.3939,175.1268,70.7779,5.4708,17.7957,138.5849,30.2776,37.492,5.9243,0.0,1010.0661,431601,3.298,97
Meerut,77,48.4849,64.7406,23.648,1.1174,13.6452,58.7935,32.6083,34.7464,9.9502,0.0,1008.004,73872,3.5787,27
Lucknow,60,33.3512,60.6611,23.7329,1.2362,7.7051,51.7884,29.3262,37.9508,12.1607,0.0,1011.2771,97644,2.4451,18
Jaipur,78,41.9937,77.7395,22.6623,1.4842,10.7215,51.7787,27.268,35.1434,10.8415,0.0,1009.6826,100659,3.2661,24
Thane,149,74.5995,123.6727,37.2198,1.6314,29.3372,62.7409,22.5939,48.2244,10.3716,0.8848,1009.6101,73078,8.8742,70
Jaipur,56,32.5068,26.4067,21.4879,0.9253,15.8897,49.69,21.6782,52.0279,10.4444,14.5019,1010.3101,41042,4.4405,16
Surat,107,57.9543,111.8374,30.3339,1.0384,26.0074,46.7489,27.8693,83.3276,12.7151,0.0,1011.4942,54914,8.3523,49
Rajkot,89,51.7869,80.745,23.7881,1.4519,13.4493,50.1741,30.23,51.1896,12.8791,0.0,1005.0541,123474,4.6284,33
Vadodara,160,77.9181,122.913,36.1267,1.7723,27.0658,66.1909,23.6518,46.9825,8.336,0.0,1009.1173,78822,7.2458,75
Ahmedabad,88,52.0528,90.0919,30.1429,1.0812,21.5655,33.8817,17.2337,54.3105,14.8535,0.0,1011.9417,62244,8.1378,34
Chennai,157,76.7716,117.8936,43.6794,3.3242,11.0281,51.4486,28.3842,69.3388,16.8231,0.0,1013.5905,444504,4.4632,75
Kolkata,194,88.6538,145.7561,50.8902,3.5329,16.7635,87.8296,33.1001,37.9604,10.0685,0.0,1006.7116,341766,4.6134,87
Varanasi,85,52.2547,79.4362,25.6089,1.5392,16.1365,56.7701,25.6309,47.2447,8.2441,0.4471,1009.1701,91173,3.8521,32
Indore,62,36.2048,57.9283,22.943,1.0513,11.5952,48.0232,21.5147,53.5517,11.462,0.0,1008.9885,75221,3.0598,19
Nashik,66,30.1169,20.8681,32.0569,1.3259,27.1737,51.4802,22.1154,45.7227,11.813,20.1655,1009.961,66490,8.5635,19
Ahmedabad,148,74.6082,125.6119,38.6895,1.6666,29.5927,81.8171,39.1216,31.9244,9.5153,0.0,1009.1557,97185,8.4154,68
Nagpur,84,49.0506,72.5675,25.8443,1.137,15.5531,65.1917,38.7054,33.7264,11.1118,0.0,1009.6316,74809,4.3866,28
Bhopal,95,46.8475,94.6921,21.5961,1.2044,13.1171,30.08,10.6982,59.883,12.0485,0.0,1010.1944,72857,4.4533,35
Ahmedabad,83,18.8173,3.0,37.746,1.5552,25.9966,80.2067,38.5384,30.3325,10.614,36.0571,1010.5758,90021,8.2275,19
Ludhiana,84,50.3694,80.8945,29.9617,1.1911,17.9626,68.0137,44.9468,24.2773,13.5724,0.0,1011.3555,81508,6.0776,28
Lucknow,60,37.6026,63.714,18.1771,1.2444,14.3633,59.2555,41.2555,37.3299,9.4755,0.6087,1009.9125,84120,3.2778,19
Nagpur,67,33.7947,65.3427,17.6166,0.7167,11.1655,35.6018,24.1556,46.5099,13.1143,0.0,1009.1963,42496,3.638,19
Varanasi,84,47.5145,83.4347,20.2596,1.2373,13.2566,51.2276,26.1918,43.3789,10.2869,0.0,1013.0681,65812,3.9126,29
Nagpur,80,47.0931,67.2497,22.1317,1.084,13.1147,70.7517,40.51,37.8762,9.3507,0.0,1006.6064,62237,3.1317,26
Jaipur,77,47.1238,71.5603,23.6532,0.8281,14.9671,37.6583,10.3941,51.7808,10.017,2.5142,1012.906,58502,3.7519,28
Chennai,130,68.7919,95.178,32.8904,2.398,12.5825,41.8127,29.4796,72.478,21.9555,0.0,1007.9801,391210,6.0147,62
Vadodara,175,82.6381,126.538,41.8502,1.6794,29.1947,65.8396,30.3982,40.8099,12.2471,0.0,1005.9309,103424,9.9028,81
Jaipur,81,34.3066,80.5322,26.1726,1.3907,8.8611,67.9189,37.7928,42.5442,8.6889,0.0,1008.2964,102206,2.0799,24
Nashik,183,84.9489,134.0663,38.0699,1.3792,32.3756,78.7381,21.7187,39.5886,6.9577,0.0,1010.5626,56426,8.0553,84
Varanasi,55,32.2027,44.3632,13.1433,0.9279,8.9088,21.1981,16.3226,54.3911,19.3137,0.0,1007.6801,93129,2.9111,16
Bangalore,142,72.6489,131.4404,47.7248,3.3589,10.2462,90.9439,21.4215,53.4699,6.337,0.0,1014.8276,269553,1.9637,67
Nagpur,57,22.6213,45.384,13.3844,1.12,4.5214,46.4648,30.7138,42.586,10.6662,0.0,1007.5252,68107,0.9825,14
Hyderabad,127,59.3839,136.3903,37.8947,2.7611,15.3358,56.6354,22.8803,38.6306,13.7092,0.0,1011.7839,286538,5.2886,52
Varanasi,75,44.2154,65.2994,26.0059,1.2086,12.2565,69.1541,27.4675,43.7873,7.074,0.0,1011.8801,57954,2.4801,24
Agra,96,48.8164,94.3889,23.8413,1.551,11.6435,59.5615,18.188,57.2959,6.9775,0.0852,1011.4286,82904,2.7569,36
Varanasi,90,50.337,90.936,27.6056,1.4379,18.3072,60.03,26.2717,47.8257,8.9064,0.0,1009.6585,93184,4.6251,33
Delhi,152,74.414,120.1421,49.7932,3.2988,20.4918,63.6231,7.9652,52.0412,10.6656,3.624,1015.2566,308124,5.7177,70
Thane,127,68.3964,102.2945,32.4663,1.5028,24.3936,67.7922,33.5904,41.725,10.6093,0.0,1011.9586,87848,7.3892,58
Nagpur,84,47.6021,82.2752,25.4707,1.2053,15.4602,63.7099,36.0893,33.7976,10.0385,0.0,1008.2635,83103,4.4901,28
Bangalore,222,96.5817,161.287,54.672,4.1139,17.6599,69.6475,9.084,52.5875,10.4729,0.6482,1013.0808,414582,5.1331,94
Bangalore,112,34.2097,3.0,45.8617,3.1611,16.4987,59.5912,22.4562,42.5581,13.0294,22.8368,1009.679,362230,5.4895,38
Rajkot,102,56.0978,100.7036,30.3043,1.4623,19.6384,51.3276,21.9208,55.5257,10.8512,0.0,1011.2205,72588,6.0246,41
Hyderabad,104,57.6677,90.5876,36.8164,2.6033,10.3445,58.3077,33.2906,33.2205,15.0783,0.0,1009.6397,337030,3.9458,42
Agra,71,34.1577,73.441,16.764,0.9648,9.0298,45.5021,31.9313,38.8774,12.5672,0.0,1007.5214,77817,2.9137,21
Chennai,109,62.8917,106.2174,34.6369,2.1844,16.8475,44.3115,24.9393,86.1528,13.2903,0.0,1007.7791,221591,5.1977,52
Kolkata,129,58.4977,41.4919,59.1709,4.2871,20.6167,103.2598,28.8086,43.5028,8.5643,16.7048,1014.6077,363266,5.0305,54
Rajkot,106,60.0737,107.8948,26.552,1.4305,15.8875,53.9172,18.204,52.9309,7.7993,0.0,1008.8426,84930,4.0979,45
Agra,66,29.3377,66.357,17.7641,0.8505,9.695,49.9556,27.4909,41.8918,11.1896,0.0,1010.3481,46218,2.6368,18
Kolkata,233,99.6323,176.5911,55.5211,4.7175,12.9635,90.2092,14.1734,53.4575,7.3489,0.0,1010.6907,401498,3.0823,95
Lucknow,95,52.3162,95.8354,28.212,1.6867,13.9624,67.7982,35.4499,35.8512,8.3338,0.0,1011.0918,109717,3.2353,35
Lucknow,62,36.7909,55.5141,15.5211,0.9154,8.1462,47.49,30.2175,39.2758,10.6873,0.0,1009.5844,70268,2.5446,18
Nagpur,76,35.7265,74.7051,23.5347,0.9217,11.6624,36.6409,10.6577,55.1611,13.6502,0.0,1008.1387,63920,4.3953,23
Varanasi,88,53.5628,69.8798,25.0806,1.3235,13.1921,54.2657,21.7379,52.3061,9.2993,0.0,1010.2632,98433,3.3469,34
Patna,66,35.234,65.4852,14.2313,1.1673,6.8308,34.8031,26.1003,48.468,13.7219,0.0,1009.3804,104715,2.2147,20
Indore,90,55.0182,91.8868,33.2654,1.5229,20.3725,62.1694,21.6149,55.3422,8.0972,0.0,1012.6462,76749,4.8284,36
Meerut,97,51.6848,97.5018,26.5727,1.0878,17.0296,73.0582,39.1376,25.8894,8.6105,0.0,1009.0106,63391,4.127,35
Delhi,168,79.8926,128.9109,44.8915,3.3525,14.6286,75.3318,28.2518,38.9614,11.442,0.0,1007.4483,334161,4.6707,77
Varanasi,109,61.5843,109.7623,32.3405,1.3317,21.5198,75.0151,25.9496,48.384,7.6115,0.0,1009.3618,65750,5.2333,45
Hyderabad,290,116.6485,188.4031,68.4195,5.1811,22.3669,101.9229,26.3594,46.8152,9.2706,0.0,1012.1951,480688,6.161,99
Bhopal,106,53.2736,108.5709,26.4671,1.0521,18.7624,68.5635,26.6277,41.299,7.7832,0.0,1007.8511,49552,4.8352,41
Bangalore,230,98.6443,166.2854,58.274,4.3747,17.0848,78.1345,21.0654,46.1527,10.8873,0.0,1011.6689,466869,4.9673,94
Nagpur,70,37.4414,67.2077,20.2107,1.3303,8.1062,34.2282,12.5312,52.5249,9.7936,0.0,1008.847,98968,1.9569,21
Ahmedabad,195,87.9858,157.7177,46.8301,2.2382,35.5508,100.0343,37.2298,40.0731,7.5046,0.0,1005.6325,98521,8.7867,87
Nagpur,95,48.9462,94.7395,26.5661,1.5716,16.2079,59.3607,31.591,39.7128,11.9164,0.0,1009.593,95158,5.2509,34
Bangalore,149,74.7365,92.9764,69.0059,5.0164,21.7088,115.8786,28.6807,51.2428,8.8417,13.354,1012.9448,462907,5.969,71
Delhi,153,75.628,122.3562,38.4754,2.6491,17.2216,57.5217,20.7795,50.3734,11.3306,0.0,1011.7005,227463,5.2481,72
Rajkot,140,71.6802,133.836,35.5228,1.6731,23.7287,88.6819,32.8982,35.5515,7.0804,0.0,1011.5161,92823,6.0697,63
Thane,162,78.9558,128.9882,37.2342,1.49,30.5169,62.3949,21.054,53.2548,9.0775,0.0,1010.6327,66192,8.0049,77
Meerut,83,49.7045,75.7237,25.2057,1.2141,12.2309,47.7021,21.5688,55.9836,10.2155,0.0,1012.3739,99155,3.2493,31
Surat,118,60.5747,125.9598,30.1955,1.2809,22.6239,51.09,26.9958,84.631,12.0156,0.0,1007.2838,75404,6.9783,55
Indore,85,34.0225,66.9948,21.8844,1.752,3.9963,71.9396,31.4617,38.7945,6.3189,0.0,1007.9406,109553,0.5,26
Nagpur,56,26.1147,40.8796,19.0929,0.8073,9.4813,53.0895,40.1502,30.7778,13.2276,3.5718,1012.0998,62034,2.8883,13
Delhi,156,77.2411,134.9204,46.6314,2.6839,19.9193,67.2683,21.4716,57.9776,11.0231,0.0,1010.6743,236497,6.2183,75
Surat,76,45.1639,37.3058,25.9557,1.0854,18.0864,37.6675,26.0126,83.6456,19.8301,10.6332,1009.6593,74006,7.9398,29
Meerut,99,56.3496,84.8299,28.1682,1.9988,11.0614,59.7961,29.5024,40.4711,9.3358,0.0,1011.7981,142437,3.0659,39
Bhopal,43,25.2631,41.0397,15.3263,0.7741,9.9783,31.2461,20.5397,50.4247,13.4989,0.0,1009.8014,58442,2.6735,12
Nashik,119,66.0864,109.9661,34.9359,1.5423,19.3349,72.5064,34.7121,39.609,10.794,0.0,1007.5583,84978,6.0074,53
Rajkot,123,67.2758,115.1597,35.0862,1.4033,23.2504,56.3735,14.9168,60.404,7.5972,0.0,1010.7563,54767,5.8878,58
Bhopal,72,36.7879,65.6737,18.8871,1.3301,7.9919,71.8341,39.5487,28.7128,8.2186,0.0,1010.2054,76865,1.8532,20
Hyderabad,275,112.429,169.6923,61.5814,4.1767,25.7178,125.8785,45.6925,31.9059,8.1607,0.0,1009.2349,337221,6.5485,98
Ludhiana,161,78.1658,130.4475,42.1033,1.6235,36.1103,102.3719,32.2758,34.9366,6.1222,4.508,1010.0762,48703,8.1144,74
Nashik,88,52.7891,71.9836,31.9816,1.2086,27.4997,59.5572,31.3279,45.2128,11.6255,9.4055,1011.5744,44836,8.7661,33
Bangalore,149,75.6007,120.9804,46.8525,3.2455,14.7621,61.6432,30.3574,46.8711,16.5701,0.0,1010.1057,441445,5.1739,71
Surat,58,28.3942,58.6072,14.6525,0.8016,10.0777,20.5928,24.5392,74.576,23.3787,0.0,1013.0076,73979,4.4853,18
Srinagar,103,60.2746,87.0098,25.8431,2.0522,10.2662,58.9735,15.2275,69.4938,4.976,0.0,860.7126,105566,1.915,45
Varanasi,79,42.7085,78.1942,24.4455,1.009,16.6397,56.1332,28.1719,37.5074,11.014,0.0,1009.4604,45218,4.8355,25
Agra,74,46.0817,72.8746,20.2847,0.9247,13.3482,35.149,22.93,42.3908,14.5209,0.0,1009.292,67269,4.5396,26
